15.05.2021 00:05:56.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: class ch.qos.logback.classic.Logger
15.05.2021 00:09:04.973 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Logger
15.05.2021 00:22:45.082 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.083 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.083 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.083 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.083 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.084 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.085 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.086 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.087 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.088 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.089 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.090 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.091 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.091 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.091 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.091 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Field
15.05.2021 00:22:45.092 [JavaFX Application Thread] DEBUG  c.view.Controller - Is this Instance of Integer :true
15.05.2021 00:25:30.571 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Logger
15.05.2021 00:27:23.110 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Logger
15.05.2021 00:27:23.112 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Boolean
15.05.2021 00:27:23.112 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.112 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.113 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.114 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.115 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: TextField
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Button
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Button
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Button
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Button
15.05.2021 00:27:23.116 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.117 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.118 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.119 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.133 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.134 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.134 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.135 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.135 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.135 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.136 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.136 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.136 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.137 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.137 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.137 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.138 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.138 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.138 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.139 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Double
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.140 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: Integer
15.05.2021 00:27:23.141 [JavaFX Application Thread] DEBUG  c.view.Controller - Class: LinkedHashMap
15.05.2021 00:27:23.142 [JavaFX Application Thread] DEBUG  c.view.Controller - Is this Instance of Integer :true
